,time,n1,n1_bkg,n2,n2_bkg,n9,n9_bkg,na,na_bkg,b0,b0_bkg,b1,b1_bkg
42,12.0,1266.6758934427708,1238.0992574603904,1183.1329360145664,1238.6967215590244,1080.6150885142044,1151.4749238684517,1074.6824072885925,1118.7559619834453,2931.344352960829,2897.6973921835415,3091.695811763948,3050.334077716979
43,13.0,1250.779856727029,1238.0992574603913,1237.499649007393,1238.696721559023,1103.7837425988344,1151.474923868451,1178.3252338098114,1118.755961983445,2869.469329276636,2897.697392183541,3058.5165288756984,3050.3340777169806
44,14.0,1245.6222695598801,1238.0992574603902,1258.5718268445848,1238.6967215590234,1124.9202930808378,1151.4749238684503,1048.6299639495855,1118.755961983445,2931.273559369107,2897.6973921835415,3078.084881437849,3050.3340777169788
45,15.0,1193.3078493584214,1238.0992574603906,1255.6061007212716,1238.6967215590234,1101.7477589107234,1151.4749238684512,1055.6031172872304,1118.7559619834453,2849.2550888178807,2897.6973921835406,3085.3447633696596,3050.3340777169788
46,16.0,1238.624214451485,1238.0992574603906,1283.6970474967907,1238.6967215590234,1184.0999737312284,1151.4749238684517,1070.6723983061722,1118.7559619834453,2879.6348840297987,2897.6973921835415,3034.232260714444,3050.3340777169788
47,17.0,1289.8747838506874,1238.0992574603902,1188.243905863006,1238.696721559023,1230.383554775633,1151.4749238684508,1123.9965748685997,1118.7559619834456,2895.896641242881,2897.69739218354,2998.906742959767,3050.334077716978
48,18.0,1191.4217633042097,1238.0992574603904,1261.5778347393207,1238.696721559024,1153.9425535114542,1151.474923868451,1141.9668298238823,1118.7559619834449,2949.6120520484255,2897.69739218354,3003.8010565648756,3050.3340777169806
49,19.0,1204.3843199390287,1238.0992574603904,1271.7746270932125,1238.696721559023,1217.3452647876363,1151.4749238684512,1136.9606455209366,1118.7559619834453,2877.518331602798,2897.6973921835393,3073.661150251994,3050.3340777169788
50,20.0,1235.449374654034,1238.0992574603915,1220.4783633355062,1238.6967215590234,1205.1285136213612,1151.4749238684517,1077.7741907670343,1118.755961983445,2891.9183259475712,2897.697392183541,2981.3789632611974,3050.33407771698
51,21.0,1335.33449577328,1238.0992574603908,1198.2568621513274,1238.6967215590225,1164.0007940470532,1151.4749238684508,1087.690947403877,1118.755961983445,2882.461954520485,2897.69739218354,2980.342422320862,3050.3340777169788
52,22.0,1200.4693564401118,1238.0992574603902,1225.4066304326027,1238.696721559023,1137.9107757644053,1151.4749238684512,1089.6740601435922,1118.755961983445,2937.5122018963507,2897.69739218354,3029.79059214791,3050.3340777169788
53,23.0,1187.3911892364592,1238.0992574603913,1193.1929844263248,1238.6967215590232,1159.999759377751,1151.4749238684517,1131.9180848226729,1118.755961983445,2873.4707018673535,2897.697392183542,3060.5423603224845,3050.3340777169797
54,24.0,1215.5103940179238,1238.0992574603904,1207.3322369740483,1238.6967215590228,1166.9500497257065,1151.4749238684522,1109.910184503769,1118.7559619834449,2822.9944264472124,2897.6973921835424,2984.416614493897,3050.3340777169806
55,25.0,1301.9736234989189,1238.0992574603908,1280.7628813453928,1238.6967215590241,1165.9919353059952,1151.4749238684517,1131.9634803916654,1118.7559619834456,2845.1849168980643,2897.69739218354,2962.093655704672,3050.334077716978
56,26.0,1233.4883049263317,1238.0992574603913,1236.3951410573436,1238.6967215590228,1129.8721349670864,1151.4749238684508,1053.5854988140898,1118.755961983445,2853.5091320341617,2897.6973921835393,2982.175387743189,3050.3340777169815
57,27.0,1247.7632539739855,1238.0992574603913,1253.6154268911541,1238.696721559023,1131.827304606908,1151.4749238684517,1202.4606818423424,1118.7559619834449,2936.381749753457,2897.697392183542,3026.2029307657926,3050.3340777169797
58,28.0,1244.7666639250372,1238.0992574603897,1254.5302481182046,1238.6967215590232,1173.1487311945261,1151.4749238684517,1118.9181385052216,1118.7559619834449,2941.442846648486,2897.6973921835397,2946.203353457838,3050.334077716978
59,29.0,1183.360744514421,1238.0992574603908,1311.8937005030932,1238.696721559023,1158.9483646396432,1151.4749238684508,1073.7552559868623,1118.7559619834453,2879.6348840297987,2897.6973921835397,2998.568659069085,3050.3340777169797
60,30.0,1250.6694642079863,1238.0992574603913,1281.6758463272665,1238.696721559023,1114.836143148169,1151.4749238684524,1080.7277568583104,1118.755961983445,2951.2802297430285,2897.6973921835397,2962.0459554938257,3050.3340777169797
61,31.0,1222.5674518244236,1238.0992574603904,1206.4044734240026,1238.696721559023,1202.180970848866,1151.4749238684517,1115.796185240212,1118.755961983445,2896.0365154180236,2897.697392183541,3117.397818627056,3050.334077716978
62,32.0,1255.6866961398666,1238.0992574603908,1279.644427329033,1238.6967215590234,1162.0282456080545,1151.4749238684517,1173.224019605877,1118.755961983445,2807.5928738846583,2897.69739218354,3025.1170282377816,3050.3340777169788
63,33.0,1188.3392332454196,1238.0992574603913,1228.4223847639523,1238.696721559023,1165.0898181978607,1151.4749238684526,1103.881129748644,1118.755961983445,3047.700334965215,2897.6973921835406,3018.1005496607404,3050.3340777169797
64,34.0,1276.0117810395884,1238.0992574603908,1281.6552808610156,1238.6967215590225,1142.9075568245617,1151.4749238684512,1154.1091701042608,1118.7559619834453,2936.429028583389,2897.6973921835397,2954.4461646557643,3050.3340777169797
65,35.0,1220.3315050086737,1238.0992574603902,1232.532437967214,1238.696721559022,1095.6492799589407,1151.4749238684517,1095.807458709213,1118.755961983445,2859.5576841808706,2897.69739218354,2991.7455204348703,3050.334077716978
66,36.0,1263.6595580802002,1238.0992574603915,1232.3841268122264,1238.6967215590234,1150.983348840194,1151.4749238684512,1162.0934928780414,1118.7559619834449,2841.1377428649616,2897.697392183541,3046.4600255314695,3050.33407771698
67,37.0,1185.314138330773,1238.0992574603906,1234.54313880838,1238.6967215590234,1141.9759894284505,1151.4749238684512,1167.343271128512,1118.755961983445,2893.895851948449,2897.6973921835383,3067.4105497983583,3050.3340777169797
68,38.0,1240.674878991573,1238.099257460391,1226.3528486883138,1238.696721559022,1188.2915676423695,1151.4749238684524,1103.8191541196215,1118.755961983445,2838.954234689566,2897.6973921835393,2980.414419528811,3050.3340777169788
69,39.0,1266.8080249229183,1238.0992574603906,1192.1592219381362,1238.6967215590234,1166.9781281831233,1151.4749238684512,1086.703718852505,1118.7559619834456,2933.321526252976,2897.6973921835397,3041.0771916190693,3050.3340777169797
70,40.0,1234.5629486698613,1238.0992574603915,1226.392200827489,1238.6967215590228,1128.7948961628995,1151.4749238684515,1135.032807662073,1118.7559619834456,2920.2574495747413,2897.6973921835393,3024.9952183935816,3050.334077716977
71,41.0,1294.9444006443628,1238.099257460391,1264.675145974201,1238.6967215590234,1169.0066851943197,1151.4749238684517,1120.9638283621896,1118.7559619834456,2947.5637565386805,2897.697392183541,3078.874770947021,3050.3340777169815
72,42.0,1268.7886027678649,1238.0992574603906,1212.3485065751606,1238.696721559023,1205.15751268323,1151.4749238684503,1124.9383389413147,1118.7559619834446,2850.198095307083,2897.697392183541,3004.426622541352,3050.3340777169824
73,43.0,1279.81897983583,1238.0992574603915,1199.2619926199263,1238.6967215590234,1212.280430845869,1151.4749238684517,1134.200714416082,1118.7559619834458,2786.260616960582,2897.697392183539,2916.725376919825,3050.3340777169774
74,44.0,1224.4897959183675,1238.0992574603893,1239.430744300223,1238.6967215590232,1192.1592219381362,1151.4749238684512,1100.9019776129878,1118.7559619834442,2900.014892512286,2897.697392183542,2993.385162311127,3050.3340777169788
75,45.0,1272.7903697210293,1238.099257460391,1217.4526958454176,1238.6967215590228,1160.009063510747,1151.4749238684517,1162.056207826584,1118.7559619834453,2960.5091029114024,2897.6973921835374,3083.1752476005204,3050.3340777169797
76,46.0,1222.6066897347175,1238.0992574603915,1234.4341959330857,1238.6967215590232,1167.0436498387796,1151.4749238684515,1083.7244833511447,1118.7559619834453,2940.6436809371417,2897.697392183541,2953.5898947978576,3050.3340777169815
77,47.0,1208.4343704809069,1238.099257460391,1226.461073148425,1238.6967215590232,1226.274151985802,1151.4749238684508,1132.9592896646038,1118.7559619834453,2811.910831742097,2897.69739218354,3041.3955988861303,3050.3340777169783
78,48.0,1173.2616674354706,1238.099257460391,1206.2689889600817,1238.696721559023,1137.8377673918753,1151.4749238684512,1132.9956404734116,1118.7559619834446,2782.5953989593936,2897.697392183541,2962.1652089015934,3050.3340777169815
79,49.0,1274.7810004473267,1238.0992574603906,1224.4308552564285,1238.6967215590237,1136.896813079727,1151.4749238684528,1138.0568206201858,1118.7559619834444,2922.0936035934506,2897.697392183542,3041.1016821188055,3050.334077716978
