,time,n6,n6_bkg,n9,n9_bkg,na,na_bkg,b1,b1_bkg
131,-23.45,962.1552277100569,1000.5383262039693,1203.272902294223,1198.6232603141455,1142.9717264888548,-36.258322504166266,1707.718889379973,1573.307552864701
132,-23.4,1082.3378497554563,1000.5383262039738,1323.9187996469361,1198.623260314149,1102.7790030877654,-24.592568738353727,1626.048901915101,1573.3075528646912
133,-23.35,721.0382951449986,1000.5383262039693,1222.9840811580082,1198.6232603141486,1404.6071113251264,-12.992176545890707,1707.718889379973,1573.307552864718
134,-23.3,962.1552277100569,1000.5383262039666,1102.602141052869,1198.6232603141407,1504.9965886743776,-1.4569739693967925,1626.3100831224922,1573.3075528647025
135,-23.25,921.9915016435369,1000.5383262039783,1042.3348300192283,1198.6232603141545,1404.6071113251264,10.013210948585538,1606.6838046272264,1573.3075528646973
136,-23.2,1223.1802686985989,1000.5383262039716,1022.4128944308422,1198.6232603141475,1384.2635316775472,21.4185501654933,1829.2928074618803,1573.3075528647003
137,-23.15,1102.4253357386092,1000.5383262039685,1403.9310068190734,1198.623260314143,1384.4857337774192,32.759215638669936,1970.879253479177,1573.307552864706
138,-23.1,1103.1328974286819,1000.5383262039703,1142.9717264888548,1198.6232603141434,1384.2635316775472,44.03537932561638,1465.451479503733,1573.3075528646984
139,-23.05,941.7705285937428,1000.5383262039765,1102.4253357386092,1198.6232603141527,1082.3378497554563,55.24721318367526,1464.7457763152406,1573.3075528647162
140,-23.0,861.6198453091689,1000.5383262039676,1102.602141052869,1198.623260314143,881.5515306940089,66.39488917034464,1525.6142604785393,1573.3075528647062
141,-22.95,1082.685058946171,1000.5383262039696,1042.3348300192283,1198.6232603141461,1283.6970474967725,77.47857924298462,1525.859299710868,1573.3075528646934
142,-22.9,1102.602141052869,1000.5383262039703,1223.1802686985989,1198.6232603141543,1142.6051397185422,88.49845535901277,1446.9453376205581,1573.3075528647064
143,-22.85,701.2060744480407,1000.5383262039777,1142.788403705024,1198.6232603141443,1243.2822651800577,99.45468947592241,1465.9223261978184,1573.3075528646953
144,-22.8,1022.0850535091441,1000.5383262039671,1263.5885916001264,1198.623260314144,1424.2728184553457,110.34745355102561,1566.3908747690355,1573.307552864705
145,-22.75,721.0382951449986,1000.5383262039783,1182.791387674896,1198.623260314148,1344.0320962888475,121.1769195417802,1526.8402442944173,1573.3075528646973
146,-22.7,1122.6944667201124,1000.5383262039671,1323.9187996469361,1198.623260314152,1102.4253357386092,131.943259405629,1809.9911511543462,1573.3075528647096
147,-22.65,1022.0850535091441,1000.5383262039726,1303.597930287575,1198.623260314139,1404.6071113251264,142.64664510004255,1726.7689342221263,1573.3075528647014
148,-22.6,901.7674642298778,1000.5383262039709,1283.4910957805046,1198.623260314152,1283.6970474967725,153.28724858226852,2052.9748007406515,1573.3075528647084
149,-22.55,942.0725596311752,1000.5383262039679,962.0009620009483,1198.6232603141436,1203.0798845043141,163.86524180985896,1545.2538631346356,1573.3075528647025
150,-22.5,1002.6469880484336,1000.538326203975,1062.2519741852577,1198.6232603141498,882.117080994374,174.38079674022887,1586.2816754346989,1573.3075528646946
151,-22.45,1082.5114265094867,1000.5383262039641,1323.7063778579836,1198.6232603141493,1344.0320962888475,184.83408533075144,1892.261856832246,1573.3075528647048
152,-22.4,941.7705285937428,1000.5383262039795,1162.6974581027819,1198.6232603141464,1304.0163704208778,195.22527953886373,1646.45410007226,1573.3075528647048
153,-22.35,1102.602141052869,1000.5383262039686,1444.8547118317342,1198.6232603141505,1264.1971344864771,205.55455132198324,1586.5365305056607,1573.3075528647153
154,-22.3,1002.0040080160179,1000.5383262039711,1263.3858741426845,1198.6232603141423,1263.791374122349,215.8220726375454,1647.2478907191407,1573.3075528646925
155,-22.25,1203.0798845043141,1000.5383262039669,1142.788403705024,1198.623260314144,1364.1470069009595,226.0280154429263,1869.0461835282501,1573.3075528647028
156,-22.2,941.7705285937428,1000.538326203976,1162.883952201443,1198.6232603141527,1223.5728326713831,236.17255169557592,1183.7406203603218,1573.3075528647007
157,-22.15,1082.8587470923082,1000.5383262039717,1142.6051397185422,1198.6232603141361,1444.390948483369,246.25585335291757,1486.0631376013926,1573.307552864706
158,-22.1,921.8436873747364,1000.5383262039677,1203.465982028224,1198.623260314162,1102.602141052869,256.2780923723157,2091.040694868878,1573.3075528647043
159,-22.05,1102.7790030877654,1000.5383262039677,921.6959204936953,1198.6232603141366,1384.9303520532899,266.2394407112948,1626.8326973287578,1573.3075528647041
160,-22.0,781.4691620245951,1000.5383262039811,1243.4817488968936,1198.623260314148,1123.0547088079416,276.1400703271541,1708.2680172032394,1573.307552864702
161,-21.95,942.0725596311752,1000.5383262039709,962.0009620009483,1198.6232603141475,1243.681296638031,285.9801531774039,1365.2425313202502,1573.307552864702
162,-21.9,1142.9717264888548,1000.5383262039669,1243.681296638031,1198.6232603141477,1464.5106929342166,295.7598612193968,1788.0821312331484,1573.3075528647062
163,-21.85,962.1552277100569,1000.5383262039767,1102.602141052869,1198.6232603141443,1283.4910957805046,305.4793664105963,1445.318773084932,1573.3075528646968
164,-21.8,901.7674642298778,1000.538326203967,1062.2519741852577,1198.623260314155,1303.807116780982,315.1388407084113,1384.7080072245437,1573.3075528647082
165,-21.75,921.8436873747364,1000.5383262039762,1343.8164386858489,1198.623260314147,1344.0320962888475,324.7384560702145,1505.2382290370274,1573.307552864702
166,-21.7,901.7674642298778,1000.5383262039719,1343.8164386858489,1198.6232603141402,982.0820138693892,334.2783844534929,1545.9984740794062,1573.3075528647018
167,-21.65,1042.1677088343606,1000.5383262039679,1102.602141052869,1198.6232603141536,1203.465982028224,343.75879781562185,1708.2680172032394,1573.3075528646993
168,-21.6,1042.3348300192283,1000.5383262039749,1022.5768937722917,1198.623260314142,1002.1646756994966,353.17986811404137,1848.874598070713,1573.3075528646998
169,-21.55,1202.8869286286917,1000.5383262039683,1122.6944667201124,1198.6232603141475,1223.3765191929551,362.5417673061511,1445.318773084932,1573.3075528647048
170,-21.5,902.0566892514806,1000.5383262039728,1364.1470069009595,1198.6232603141448,1364.1470069009595,371.84466734941935,1828.4106891701567,1573.3075528647041
171,-21.45,1082.5114265094867,1000.5383262039725,1202.8869286286917,1198.6232603141486,1344.2478231210434,381.0887402011401,1566.1392659223936,1573.3075528647016
172,-21.4,821.3470090949039,1000.5383262039704,1283.90306531855,1198.6232603141516,962.1552277100569,390.2741578188575,1565.887737894461,1573.3075528647116
173,-21.35,1202.8869286286917,1000.538326203972,1203.272902294223,1198.6232603141482,1303.597930287575,399.4010921599771,1486.779715502671,1573.3075528647043
174,-21.3,1042.3348300192283,1000.5383262039725,1002.4861656908992,1198.6232603141384,1324.131289623607,408.4697151818411,1606.6838046272264,1573.3075528646953
175,-21.25,1102.602141052869,1000.5383262039693,1625.2658613908834,1198.6232603141518,1203.272902294223,417.4801988419348,1607.2002571520184,1573.3075528647032
176,-21.2,1102.9559218705976,1000.5383262039699,1303.597930287575,1198.6232603141464,1042.1677088343606,426.43271509763684,1789.2324393872127,1573.307552864702
177,-21.15,1545.005818853062,1000.538326203976,1384.2635316775472,1198.6232603141445,841.4135748056616,435.3274359064185,1385.375255993234,1573.3075528647055
