,time,n6,n6_bkg,n9,n9_bkg,b1,b1_bkg
229,-7.1,921.9175885842421,1000.53832620397,1313.4412159858643,1198.6232603141482,1566.6425644733447,1573.307552864703
230,-7.0,992.4414058583975,1000.5383262039728,1283.4910957805046,1198.6232603141468,1646.5863453815025,1573.3075528647043
231,-6.9,881.7635270540957,1000.5383262039705,1303.597930287575,1198.6232603141475,1647.2478907191407,1573.307552864703
232,-6.8,1022.4128944308422,1000.5383262039705,1363.9281129653207,1198.6232603141468,1495.5334738532356,1573.3075528647037
233,-6.7,931.9571099308415,1000.538326203972,1182.9811124032394,1198.6232603141475,1525.9818488474605,1573.307552864703
234,-6.6,931.8077069514726,1000.5383262039717,1173.0264081329663,1198.6232603141468,1567.0202507232177,1573.3075528647014
235,-6.5,951.9610397418546,1000.5383262039721,1273.4382833650677,1198.6232603141464,1636.644777797836,1573.3075528647037
236,-6.4,851.6522052782277,1000.5383262039694,1193.030296954247,1198.623260314148,1525.9818488474605,1573.3075528647053
237,-6.3,1102.513731307365,1000.5383262039722,1525.1244180446083,1198.623260314147,1778.1438990576587,1573.3075528647016
238,-6.2,911.9515763734262,1000.5383262039711,1172.8382686100197,1198.6232603141457,1525.859299710868,1573.3075528647032
239,-6.1,921.9915016435369,1000.5383262039717,1243.5815147624983,1198.6232603141475,1536.2988251832294,1573.3075528647018
240,-6.0,972.0412867020606,1000.5383262039715,1173.0264081329663,1198.623260314147,1546.1226456768584,1573.3075528647032
241,-5.9,951.9610397418546,1000.5383262039703,1092.6441989614714,1198.6232603141477,1486.421340189598,1573.3075528647037
242,-5.8,972.3530944886488,1000.5383262039713,1253.5349686114666,1198.623260314147,1506.0845817100874,1573.3075528647018
243,-5.7,1022.5768937722917,1000.538326203972,1384.2635316775472,1198.6232603141466,1657.3253781714943,1573.3075528647048
244,-5.6,1052.5471641371971,1000.5383262039711,1112.6481024838959,1198.6232603141482,1465.3338150868956,1573.307552864702
245,-5.5,881.904914615557,1000.5383262039711,1163.070506136183,1198.6232603141466,1970.086844644552,1573.3075528647028
246,-5.4,952.113692397108,1000.5383262039711,1263.5885916001264,1198.623260314147,1405.3967234179047,1573.3075528647032
247,-5.3,861.5507914245519,1000.5383262039715,912.024694822493,1198.6232603141477,1405.509597622661,1573.3075528647025
248,-5.2,1062.2519741852577,1000.5383262039704,1162.883952201443,1198.6232603141455,1505.842669557863,1573.307552864704
249,-5.1,821.3470090949039,1000.5383262039711,1303.7025151429877,1198.6232603141482,1375.087824952304,1573.3075528647028
250,-5.0,771.2494240669776,1000.5383262039717,1273.336140688586,1198.6232603141475,1465.5691628186903,1573.3075528647032
251,-4.9,1052.4627628650894,1000.53832620397,1303.4933622107062,1198.6232603141464,1848.1317798312311,1573.307552864703
252,-4.8,1052.4627628650894,1000.538326203972,1042.1677088343606,1198.623260314147,1456.0864413247166,1573.307552864702
253,-4.7,962.4639076034512,1000.5383262039717,1213.0325814536168,1198.6232603141466,1758.6879183164583,1573.3075528647018
254,-4.6,1102.7790030877654,1000.5383262039717,1162.9772216875035,1198.623260314146,1587.0464863995917,1573.3075528647041
255,-4.5,1072.5526753673591,1000.5383262039711,1082.685058946171,1198.6232603141466,1606.425702811222,1573.3075528647025
256,-4.4,962.1552277100569,1000.538326203971,1122.6044423061342,1198.6232603141477,1596.4817157659872,1573.3075528647025
257,-4.3,1072.5526753673591,1000.5383262039716,1273.7448097406193,1198.6232603141461,1597.6367034424322,1573.3075528647025
258,-4.2,1092.4689798945462,1000.5383262039711,1283.388144701995,1198.6232603141482,1616.758048643306,1573.3075528647032
259,-4.1,901.9120535535206,1000.5383262039711,1062.3371417117507,1198.6232603141466,1545.9984740794062,1573.3075528647037
260,-4.0,952.0373599502801,1000.5383262039713,1303.7025151429877,1198.6232603141475,1575.957117905661,1573.307552864702
261,-3.9,1012.2877703610015,1000.5383262039715,1203.1763856581204,1198.623260314147,1667.5372684533854,1573.3075528647016
