,time,n9,n9_bkg,na,na_bkg,nb,nb_bkg,b1,b1_bkg
389,-10.55,1163.2571199358038,734.5601636410642,1626.048901915101,1303.9965640220519,1083.2062906202204,588.58304704736,2978.106889890492,3266.0741301588487
390,-10.5,1363.9281129653207,738.9538928709889,1464.7457763152406,1304.391853841122,962.3095429029535,592.0253756930123,3262.182843334629,3266.074130158851
391,-10.45,1384.4857337774192,743.3348415584319,1444.390948483369,1304.7871436601924,862.0344011867886,595.4578783231715,3182.14774832832,3266.0741301588414
392,-10.4,1565.384924139016,747.7030097033576,1405.0582095543757,1305.1824334792584,841.8183275875772,598.8805549378217,2776.213084412932,3266.074130158868
393,-10.35,1223.7692091642084,752.0583973057857,1223.1802686985989,1305.577723298332,1224.3587170326186,602.2934055369761,2998.8326691622965,3266.0741301588428
394,-10.3,1323.7063778579836,756.4010043657131,1304.2256912395978,1305.9730131174015,1245.079926098464,605.6964301206306,3141.614306428181,3266.074130158854
395,-10.25,961.8467457518299,760.7308308831404,1504.9965886743776,1306.3683029364702,1265.6193499135984,609.0896286887745,3344.8859514789556,3266.0741301588405
396,-10.2,1183.170898006641,765.047876858061,1344.2478231210434,1306.763592755538,882.117080994374,612.4730012414356,3345.4252317613386,3266.074130158853
397,-10.15,1183.3607445144041,769.3521422904796,1283.4910957805046,1307.1588825746103,1143.1551080983352,615.8465477785799,3038.8408130408097,3266.0741301588473
398,-10.1,1504.9965886743776,773.6436271803937,1766.5007226593611,1307.5541723936822,942.2236478088154,619.2102683002266,3060.567010309235,3266.0741301588464
399,-10.05,1263.5885916001264,777.9223315278134,1324.131289623607,1307.9494622127465,1022.5768937722917,622.5641628063764,3039.8196239480985,3266.074130158853
400,-10.0,1323.4940242239325,782.1882553327239,1203.0798845043141,1308.3447520318136,1062.9336970037152,625.9082312970249,3160.3526712024996,3266.0741301588487
401,-9.95,1203.465982028224,786.4413985951364,1304.0163704208778,1308.7400418508887,1022.7409457345541,629.2424737721727,3242.4376686671303,3266.0741301588496
402,-9.9,1162.883952201443,790.6817613150439,1182.9811124032394,1309.1353316699572,1043.171240571322,632.5668902318193,3241.915347750749,3266.074130158854
403,-9.85,1686.746987951783,794.9093434924507,1787.7947852637246,1309.530621489029,1002.1646756994966,635.8814806759623,3321.9247030400165,3266.074130158845
404,-9.8,1404.3816708129164,799.1241451273524,1364.1470069009595,1309.9259113080925,1022.7409457345541,639.1862451046007,3302.722732398857,3266.074130158845
405,-9.75,1183.170898006641,803.3261662197568,1364.5850056188601,1310.3212011271685,1043.171240571322,642.4811835177547,3200.869670249984,3266.0741301588428
406,-9.7,1263.3858741426845,807.5154067696529,1363.7092892667863,1310.7164909462329,1263.791374122349,645.7662959153939,3325.138043609642,3266.07413015887
407,-9.65,1182.9811124032394,811.6918667770561,1505.721742621942,1311.1117807653081,1204.0455931931117,649.0415822975331,3547.2428248951446,3266.0741301588414
408,-9.6,1444.390948483369,815.8555462419458,1585.2630734036777,1311.5070705843787,1364.804110468831,652.3070426641777,3200.869670249984,3266.0741301588473
