,tau_n0,n0,n0_bckg,tau_n1,n1,n1_bckg,tau_n3,n3,n3_bckg,tau_b0,b0,b0_bckg
40,-26.0,1103.5755848950444,1079.6432138744824,-26.0,932.2560596643746,1061.9188151856015,-26.0,1083.032490974714,1235.7987607393038,-26.0,1203.7557178396426,1405.4699737871451
41,-25.9,1123.2349165596759,1079.3132300834413,-25.9,931.9571099308415,1061.6286375644386,-25.9,1293.8556899560508,1236.0816150095634,-25.9,1324.2375601925976,1405.6552013903286
42,-25.8,1002.7274185785193,1079.1998697457943,-25.8,1082.9456120648008,1062.3390253472105,-25.8,1163.8173208122475,1236.513423413284,-25.8,1556.1936507298828,1406.8284793707223
43,-25.7,1123.4151821537314,1079.606086723007,-25.7,942.1480976626575,1061.9208885969742,-25.7,1122.6944667201124,1235.4823846953766,-25.7,1224.457023565762,1406.4208712712023
44,-25.6,851.7887563884036,1078.6488849971465,-25.6,891.8729331596226,1061.7796920970945,-25.6,1133.468413344819,1236.360056332099,-25.6,1213.8113676945436,1405.787870490074
45,-25.5,1103.044402551025,1079.42256674214,-25.5,1002.2450288646426,1061.9790335515465,-25.5,1173.6853720682777,1236.5190319075457,-25.5,1334.2964345191326,1405.97312732368
46,-25.4,1123.5053366503332,1079.8721998407188,-25.4,1032.9542491525615,1062.689738942482,-25.4,1264.5016257877865,1237.100005755459,-25.4,1283.90306531855,1405.7916978922312
47,-25.3,1083.5540573079547,1080.1053823506113,-25.3,952.2663940177488,1062.2287965977148,-25.3,1142.9717264888548,1235.9690167662022,-25.3,1103.3099297893523,1405.8077115422138
48,-25.2,1194.3713993214997,1080.5771873213753,-25.2,1022.4948875255477,1062.343054888454,-25.2,1354.5241105291482,1236.9464661070263,-25.2,1364.47547957298,1406.2750679072833
49,-25.1,962.3095429029535,1079.272166133785,-25.1,1022.6589131742385,1062.5638496162296,-25.1,1234.419220810484,1237.304181467501,-25.1,1586.2816754346989,1407.3076211412194
50,-25.0,1032.540048519343,1079.3968673480117,-25.0,1073.068977274991,1062.8912984936303,-25.0,1274.0514837182059,1236.8674385400343,-25.0,1445.5509155155592,1407.2105688227327
51,-24.9,901.9843656043166,1079.1753749986274,-24.9,872.0056129096798,1062.345068810917,-24.9,1294.1672184433694,1236.9768330756028,-24.9,1566.5167095115457,1407.735256181121
52,-24.8,922.139363322896,1079.3649539861547,-24.8,962.3095429029535,1062.5019255466711,-24.8,1193.2216985861658,1236.391592560638,-24.8,1374.9774182540602,1407.0447768846843
53,-24.7,1194.0837664813491,1080.6161727229035,-24.7,1022.5768937722917,1062.6801206019848,-24.7,1243.8809084342975,1236.9722562879695,-24.7,1294.1672184433694,1406.5525713490504
54,-24.6,1012.6937654159922,1079.8525112112918,-24.6,1415.0091323284223,1063.8183293567006,-24.6,1012.6937654159922,1236.461457914023,-24.6,1485.34725010034,1407.1614505683124
