,tau_n6,n6,n6_bckg,tau_n9,n9,n9_bckg,tau_b1,b1,b1_bckg
95,-40.5,0.0,1062.0422641978748,-40.5,0.0,1259.8182239234798,-40.5,0.0,2237.5514658474476
96,-40.4,0.0,1062.0422641978564,-40.4,0.0,1259.3325247751145,-40.4,0.0,2237.5514658474312
97,-40.3,0.0,1062.042264197875,-40.3,0.0,1258.8498100866323,-40.3,0.0,2237.5514658474394
98,-40.2,0.0,1062.0422641978687,-40.2,0.0,1258.3700733092317,-40.2,0.0,2237.551465847435
99,-40.1,0.0,1062.0422641978635,-40.1,0.0,1257.8933078940154,-40.1,0.0,2237.551465847443
100,-40.0,0.0,1062.042264197872,-40.0,0.0,1257.419507292183,-40.0,0.0,2237.5514658474453
101,-39.9,0.0,1062.0422641978714,-39.9,0.0,1256.948664954859,-39.9,0.0,2237.551465847444
102,-39.8,0.0,1062.0422641978691,-39.8,0.0,1256.480774333189,-39.8,0.0,2237.551465847442
103,-39.7,0.0,1062.0422641978585,-39.7,0.0,1256.0158288783696,-39.7,0.0,2237.5514658474453
104,-39.6,0.0,1062.0422641978669,-39.6,0.0,1255.5538220415378,-39.6,0.0,2237.5514658474335
105,-39.5,0.0,1062.0422641978744,-39.5,0.0,1255.0947472738405,-39.5,0.0,2237.551465847445
106,-39.4,0.0,1062.0422641978666,-39.4,0.0,1254.6385980264274,-39.4,0.0,2237.5514658474426
107,-39.3,0.0,1062.0422641978666,-39.3,0.0,1254.1853677504678,-39.3,0.0,2237.5514658474403
108,-39.2,0.0,1062.0422641978714,-39.2,0.0,1253.7350498971246,-39.2,0.0,2237.5514658474494
109,-39.1,0.0,1062.042264197869,-39.1,0.0,1253.2876379175386,-39.1,0.0,2237.551465847437
110,-39.0,0.0,1062.0422641978657,-39.0,0.0,1252.8431252628677,-39.0,0.0,2237.5514658474476
111,-38.9,0.0,1062.0422641978669,-38.9,0.0,1252.401505384263,-38.9,0.0,2237.5514658474326
112,-38.8,0.0,1062.0422641978728,-38.8,0.0,1251.962771732881,-38.8,0.0,2237.5514658474485
113,-38.7,0.0,1062.0422641978626,-38.7,0.0,1251.5269177599064,-38.7,0.0,2237.5514658474435
114,-38.6,0.0,1062.0422641978726,-38.6,0.0,1251.0939369164323,-38.6,0.0,2237.5514658474444
115,-38.5,0.0,1062.042264197866,-38.5,0.0,1250.663822653677,-38.5,0.0,2237.551465847443
116,-38.4,0.0,1062.0422641978664,-38.4,0.0,1250.2365684227627,-38.4,0.0,2237.5514658474326
117,-38.3,0.0,1062.042264197874,-38.3,0.0,1249.8121676748467,-38.3,0.0,2237.551465847443
118,-38.2,0.0,1062.042264197863,-38.2,0.0,1249.390613861105,-38.2,0.0,2237.5514658474453
119,-38.1,0.0,1062.042264197868,-38.1,0.0,1248.9719004326635,-38.1,0.0,2237.5514658474435
120,-38.0,0.0,1062.0422641978657,-38.0,0.0,1248.5560208406955,-38.0,0.0,2237.551465847441
121,-37.9,0.0,1062.042264197868,-37.9,0.0,1248.1429685363341,-37.9,0.0,2237.5514658474417
122,-37.8,0.0,1062.042264197869,-37.8,0.0,1247.732736970783,-37.8,0.0,2237.5514658474463
123,-37.7,0.0,1062.0422641978676,-37.7,0.0,1247.3253195951522,-37.7,0.0,2237.5514658474303
124,-37.6,0.0,1062.0422641978712,-37.6,0.0,1246.9207098606053,-37.6,0.0,2237.5514658474553
125,-37.5,0.0,1062.0422641978644,-37.5,0.0,1246.5189012183116,-37.5,0.0,2237.55146584744
126,-37.4,0.0,1062.0422641978714,-37.4,0.0,1246.1198871194206,-37.4,0.0,2237.5514658474485
127,-37.3,0.0,1062.0422641978657,-37.3,0.0,1245.7236610150646,-37.3,0.0,2237.5514658474394
128,-37.2,0.0,1062.0422641978678,-37.2,0.0,1245.330216356463,-37.2,0.0,2237.5514658474212
129,-37.1,0.0,1062.0422641978705,-37.1,0.0,1244.9395465947068,-37.1,0.0,2237.55146584746
130,-37.0,0.0,1062.0422641978646,-37.0,0.0,1244.5516451809535,-37.0,0.0,2237.551465847436
131,-36.9,0.0,1062.0422641978669,-36.9,0.0,1244.166505566391,-36.9,0.0,2237.5514658474513
132,-36.8,0.0,1062.0422641978714,-36.8,0.0,1243.7841212021724,-36.8,0.0,2237.551465847428
133,-36.7,0.0,1062.0422641978682,-36.7,0.0,1243.4044855394404,-36.7,0.0,2237.551465847444
134,-36.6,0.0,1062.042264197867,-36.6,0.0,1243.0275920293332,-36.6,0.0,2237.551465847447
135,-36.5,0.0,1062.042264197869,-36.5,0.0,1242.6534341230442,-36.5,0.0,2237.551465847437
136,-36.4,0.0,1062.0422641978691,-36.4,0.0,1242.2820052716922,-36.4,0.0,2237.551465847447
137,-36.3,0.0,1062.0422641978653,-36.3,0.0,1241.9132989264724,-36.3,0.0,2237.551465847444
