,Unnamed: 0,Unnamed: 0.1,SOURCE_NUMBER,NAME,RA,DEC,LII,BII,SEMI_MAJOR_AXIS,SEMI_MINOR_AXIS,POSITION_ANGLE,LIKELIHOOD,TIME_BIN,NUM_FLARES,PRED_NUMBER,PLAW_PHOTON_INDEX,PLAW_PHOTON_INDEX_ERROR,PHOTON_FLUX,PHOTON_FLUX_ERROR,FLUX,FLUX_ERROR,FERMI_NAME,GAMMA_NAME,FAVA_NAME,LMC_FLAG,CENA_FLAG,SOURCE_TYPE,ASSOC_NAME,ASSOC_PROB_BAY,ASSOC_RA,ASSOC_DEC,ASSOC_REDSHIFT,FLUX_1420_MHZ,LOG_FREQ_PEAK,LOW_CONFIDENCE_FLAG,CLASS,IMG_NUMBER,filename,filenumber,T0,T0_min,T0_max,norm,norm_min,norm_max,distance,dist_min,dist_max,std_error
24,75,120,76,b'1FLT J1202-2144',180.73,-21.735,288.226,39.747,32.1,48.54,69.0,25.283,46.0,1,106.26,2.813,0.271,7.4e-08,2.1e-08,2.6e-11,6.4e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',74,./correct_unassociated/apjsac072af17_74_hr.csv,74.0,7101700288971.949,989719925.4031599,6.624013822741633e+24,44432413.92660631,401870.66757065937,98100723923857.53,0.00026836448109959917,0.0028218364240291645,1.8060878999892666e-07,7.429664746588424
25,81,112,82,b'1FLT J1237-4430',189.475,-44.507,300.39,18.298,28.74,20.46,57.1,29.439,104.0,1,134.27,2.807,0.247,9e-08,2.6e-08,3.2e-11,7.3e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',80,./correct_unassociated/apjsac072af17_80_hr.csv,80.0,62865.41266077691,62865.41266077691,1.0492457891546712e+24,1000.000000000001,1000.000000000001,53547497409878.04,0.056568542494923775,0.056568542494923775,2.444586448371929e-07,2.9075145062552528
14,83,111,84,b'1FLT J1322-4521',200.699,-45.356,308.689,17.165,73.02,64.2,131.5,26.231,6.0,1,176.64,3.129,0.308,1.3e-07,3.3e-08,3.9e-11,8.9e-12,b'                  ',b'                    ',b'               ',b'N',b'Y',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',0,,,,,,,,,,,,
26,94,118,95,b'1FLT J1502-2420',225.727,-24.339,337.57,29.549,18.54,13.8,139.6,32.918,107.5,1,109.88,2.462,0.191,8.6e-08,2.4e-08,4.2e-11,9.9e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'N',b'                       UNIDENTIFIED\n',91,./correct_unassociated/apjsac072af17_91_hr.csv,91.0,66390.37887389197,66390.37887389197,2.2746109717632382e+24,1000.000000000001,1000.000000000001,63194678887431.94,0.056568542494923775,0.056568542494923775,2.2502705344063895e-07,7.399467935882494
27,98,121,99,b'1FLT J1533-2130',233.45,-21.503,345.966,27.494,10.98,9.36,118.1,37.124,98.0,3,84.7,2.123,0.192,5.2e-08,1.9e-08,4.8e-11,1.5e-11,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'N',b'                       UNIDENTIFIED\n',95,./correct_unassociated/apjsac072af17_95_hr.csv,95.0,960041126541902.5,150555385536.99893,9.953535497340047e+24,491682132.7120582,4734237.608004462,99999796241512.58,8.067384861136218e-05,0.0008221479223524351,1.7888562044739322e-07,6.801491618009528
28,99,137,100,b'1FLT J1544+2705',236.044,27.096,43.11,51.758,81.12,46.8,137.4,30.249,77.5,1,78.89,2.365,0.224,5e-08,1.8e-08,2.8e-11,7.8e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'N',b'                       UNIDENTIFIED\n',96,./correct_unassociated/apjsac072af17_96_hr.csv,96.0,78102.31448203686,78102.3144528703,3.764652140329392e+24,1000.0000000000726,1000.000000000001,53616079675133.28,0.05656854249492175,0.056568542494923775,2.4430224686380937e-07,6.748680843339416
29,103,127,104,b'1FLT J1622+0044',245.713,0.742,14.618,32.907,25.8,15.12,53.9,27.397,30.0,1,78.66,2.302,0.252,5.6e-08,2.4e-08,3.5e-11,1.1e-11,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',100,./correct_unassociated/apjsac072af17_100_hr.csv,100.0,71437.71329480615,71437.71294847975,2.1316996288307172e+24,1000.000000000001,1000.000000000001,46439056678057.6,0.056568542494923775,0.056568542494923775,2.625024097330436e-07,7.042742207309086
30,107,138,108,b'1FLT J1701+2801',255.418,28.02,49.467,35.189,18.3,14.82,55.8,26.801,0.5,1,98.21,2.585,0.252,5.4e-08,1.8e-08,2.3e-11,5.7e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',104,./correct_unassociated/apjsac072af17_104_hr.csv,104.0,5037914161346.275,43094272062.30632,9.999999942503553e+24,29478526.511112243,2363496.802655826,97120956995960.97,0.00032947472444378053,0.001163583300178137,1.8151750464506689e-07,6.659207534409362
31,111,135,112,b'1FLT J1737+1854',264.27,18.903,42.478,24.591,17.16,14.04,100.1,28.341,42.0,1,83.78,2.36,0.268,5.4e-08,2.3e-08,3.1e-11,8.3e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',108,./correct_unassociated/apjsac072af17_108_hr.csv,108.0,81525.4477571198,81525.4477571198,1.2264930705335047e+24,1200.7686950321809,1200.7686950321809,32651779901728.55,0.05162324620777042,0.05162324620777042,3.13055659142021e-07,7.013235879977714
32,115,136,116,b'1FLT J1815+2017',273.952,20.287,47.589,16.7,25.44,17.88,119.6,29.495,83.5,2,140.56,2.896,0.266,1.1e-07,3.2e-08,3.8e-11,8.6e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'N',b'                       UNIDENTIFIED\n',112,./correct_unassociated/apjsac072af17_112_hr.csv,112.0,66596.50898054913,66596.50261312416,5.628228286220204e+24,1000.0000000900644,1000.000000000001,99938365931487.6,0.056568542492376396,0.056568542494923775,1.7894059088269418e-07,7.962442067135231
33,120,105,121,b'1FLT J1922-6615',290.608,-66.254,329.732,-27.755,20.7,14.7,96.7,27.443,90.5,1,85.65,2.466,0.235,5.8e-08,2e-08,2.9e-11,7.6e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',117,./correct_unassociated/apjsac072af17_117_hr.csv,117.0,2905647889614.315,20548144312.586617,9.99999994251975e+24,21857161.87806114,1584323.64534079,96399560332754.73,0.0003826291956331534,0.0014211929262797347,1.8219542295441538e-07,7.026940471251091
34,122,107,123,b'1FLT J1933-5420',293.423,-54.343,343.287,-27.749,30.0,30.0,0.0,27.043,101.0,1,124.32,2.827,0.248,8.5e-08,2.2e-08,3e-11,6.9e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',119,./correct_unassociated/apjsac072af17_119_hr.csv,119.0,72697.20194954844,72697.20163331245,5.99989751791866e+24,1000.000000001045,1000.000000000001,82886096040799.58,0.05656854249489424,0.056568542494923775,1.964871470340139e-07,7.1715157169720385
35,125,116,126,b'1FLT J1943-3034',295.91,-30.572,9.471,-23.888,47.7,27.96,148.2,27.874,40.5,1,161.22,3.01,0.165,1e-07,2.7e-08,3.2e-11,7.8e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',122,./correct_unassociated/apjsac072af17_122_hr.csv,122.0,47031580402059.22,43441802278.42808,7.634658292519713e+24,113430282.26589628,2795461.7491714307,99138238378803.03,0.00016796178551760794,0.0010699123783281348,1.7966123900780134e-07,7.616516376983035
36,126,109,127,b'1FLT J1944-5135',296.122,-51.599,346.64,-28.958,20.58,17.1,106.4,25.782,99.0,1,99.56,2.593,0.204,6e-08,2.1e-08,2.6e-11,6.7e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',123,./correct_unassociated/apjsac072af17_123_hr.csv,123.0,76606.77838805412,76606.77838805412,3.6807077165808895e+24,1000.000000000001,1000.000000000001,54546976122721.35,0.056568542494923775,0.056568542494923775,2.4220865007558077e-07,6.626156216647261
37,129,122,130,b'1FLT J2013-1732',303.499,-17.545,25.585,-25.886,30.0,30.0,0.0,27.493,55.5,1,132.7,3.162,0.335,1.3e-07,3.2e-08,3.8e-11,8.6e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',126,./correct_unassociated/apjsac072af17_126_hr.csv,126.0,5886172487801.045,35286209614.3902,7.254806004968611e+24,38616721.286502615,2564450.311817927,98831567409822.4,0.0002878639565881463,0.001117063457097942,1.7993976444731103e-07,7.699200190862732
38,131,130,132,b'1FLT J2035+0955',308.903,9.924,54.542,-17.838,30.0,30.0,0.0,30.477,73.5,1,168.78,2.838,0.236,1.2e-07,3.2e-08,4e-11,8.8e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'N',b'                       UNIDENTIFIED\n',128,./correct_unassociated/apjsac072af17_128_hr.csv,128.0,72007.1242445271,72001.31427712127,2.623610907464445e+24,1263.9305270911311,1263.6781961377692,66384531780710.05,0.050316843337562214,0.050321866714298176,2.195540945930069e-07,7.702831989215984
39,133,117,134,b'1FLT J2113-2616',318.368,-26.269,20.839,-41.709,30.0,30.0,0.0,31.319,71.5,1,119.76,4.141,0.578,1.5e-07,3.4e-08,3.5e-11,8.3e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'N',b'                       UNIDENTIFIED\n',130,./correct_unassociated/apjsac072af17_130_hr.csv,130.0,1.6521930464752538e+17,382398609345.2709,4.18249483573741e+24,8582174169.84402,8846239.97655388,72008850552940.42,1.9309735597305186e-05,0.0006014446012753501,2.1080555450853472e-07,7.844965938359232
15,140,128,141,b'1FLT J2302+0457',345.527,4.965,79.346,-48.434,33.0,27.42,89.7,27.763,47.5,1,100.56,2.791,0.257,8.3e-08,2.3e-08,3e-11,7e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',0,,,,,,,,,,,,
16,141,113,142,b'1FLT J2341-4205',355.375,-42.099,342.068,-69.317,17.4,13.86,113.2,25.055,86.5,1,42.54,2.179,0.286,3.2e-08,1.5e-08,2.6e-11,1.1e-11,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',0,,,,,,,,,,,,
