,name,gcn_name,time,trigger_met,ra,dec,lii,bii,error_radius,redshift,luminosity_distance,theta,zenith,arr_flag,distance_to_closest,irfs,lle_bbbd_sig,lle_bbbd_sig_detected,lle_t05,lle_t90,lle_t95,tl0,tl100,tl100_error,tl1,tl0_lower,tl1_upper,like_best_t0,like_best_t1,like_best_ts,like_best_flux,like_best_flux_error,like_best_flux_ene,like_best_flux_ene_error,like_best_fluence,like_best_fluence_error,like_best_grbindex,like_best_grbindex_error,like_best_eiso_rf,like_best_eiso_rf_error,like_lat_t0,like_lat_t1,like_lat_ts,like_lat_flux,like_lat_flux_error,like_lat_flux_ene,like_lat_flux_ene_error,like_lat_fluence,like_lat_fluence_error,like_lat_grbindex,like_lat_grbindex_error,like_lat_eiso_rf,like_lat_eiso_rf_error,like_gbm_t0,like_gbm_t1,like_gbm_ts,like_gbm_flux,like_gbm_flux_error,like_gbm_flux_ene,like_gbm_flux_ene_error,like_gbm_fluence,like_gbm_fluence_error,like_gbm_grbindex,like_gbm_grbindex_error,like_gbm_eiso_rf,like_gbm_eiso_rf_error,like_ext_t0,like_ext_t1,like_ext_ts,like_ext_flux,like_ext_flux_error,like_ext_flux_ene,like_ext_flux_ene_error,like_ext_fluence,like_ext_fluence_error,like_ext_grbindex,like_ext_grbindex_error,like_ext_eiso_rf,like_ext_eiso_rf_error,ext_emission_max_ene,ext_emission_max_ene_p,ext_emission_max_ene_t,ext_emission_n,lat_bpl_chi2,lat_bpl_f0,lat_bpl_f0_error,lat_bpl_index1,lat_bpl_index1_error,lat_bpl_index2,lat_bpl_index2_error,lat_bpl_timebreak,lat_bpl_timebreak_error,lat_spl_chi2,lat_spl_index1,lat_spl_index1_error,lat_f0,lat_f0_error,late_index,late_index_error,su_tsinput,gbm_cat_name,gbm_cat_t05,gbm_cat_t90,gbm_cat_t90_error,gbm_cat_t95,gbm_cat_fluence,gbm_cat_fluence_error,flux_ratio,flux_ene_ratio,fluence_ratio,hardness,flux_ratio_error,flux_ene_ratio_error,fluence_ratio_error,hardness_error,like_gbm-lat_time_difference,gbm-lle_time_difference
16,GRB200219317,b'GRB200219A      ',58898.3172338,603790614.1,342.88,-60.2,326.2541,-51.1517,0.29,0.0,0.0,47.8789,90.4604,0,4.89,b'P8_TRANSIENT020E              ',7.3,1,0.061,0.213,0.274,1.33,1.0,0.505,2.33,1.32,3.33,0.0,5.15,30.3474,7.89479e-05,5.65638e-05,3.27876e-07,5.37367e-07,1.68856e-06,2.76744e-06,-1.55926,0.47236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088,2.33,24.6015,0.000150844,0.000151807,2.12151e-06,3.75336e-06,2.63492e-06,4.66167e-06,-1.18344,0.530713,0.0,0.0,1900.0,1.0,1.33,2.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,b'GRB200219317',-0.064,1.152,1.032,1.088,1.5848e-06,4.0037e-08,,,,,,,,,0.0,-0.277
17,GRB140528837,b'GRB140528A      ',56805.8370602,423000325.75,280.59,-59.46,336.139,-22.0131,0.36,0.0,0.0,46.2232,66.3106,1,2.76,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,81.13,1296.77002,313.435,1377.90002,24.77,1948.41003,0.0,4000.0,35.8742,1.37084e-06,4.71733e-07,1.15562e-09,6.3567e-10,4.62249e-06,2.54268e-06,-2.11975,0.286494,0.0,0.0,81.13,1377.90002,34.3184,1.91321e-06,7.33264e-07,2.16737e-09,1.46048e-09,2.81058e-06,1.89391e-06,-1.99082,0.297936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.592,1377.90002,33.9549,1.83289e-06,7.06923e-07,2.05706e-09,1.38806e-09,2.80441e-06,1.89235e-06,-1.99459,0.300034,0.0,0.0,4600.0,1.0,1377.90002,3.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,b'GRB140528837',1.024,13.568,0.572,14.592,2.1546e-05,4.8175e-08,0.0,0.0,0.0,inf,,,,,-81.13,1.024
18,GRB160422499,b'GRB160422A      ',57500.4993056,483019144.81,42.05,-57.9,277.392,-53.049,0.1,0.0,0.0,53.5374,102.3662,1,3.96,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,769.62,291.82001,256.82501,1061.43994,547.78998,1353.26001,0.0,4000.0,36.3122,2.93755e-07,1.73305e-07,3.12231e-09,2.71954e-09,1.24892e-05,1.08782e-05,-1.27483,0.304098,0.0,0.0,769.62,1061.43994,14.5211,4.11962e-06,0.0,4.56392e-09,0.0,1.33184e-06,0.0,-1.42195,0.438814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.12,1061.43994,36.1882,9.39697e-07,5.8634e-07,1.09782e-08,1.07949e-08,1.15087e-05,1.13165e-05,-1.2446,0.325346,0.0,0.0,12000.0,1.0,769.62,2.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,b'GRB160422499',0.832,12.288,0.362,13.12,8.8021e-05,7.0522e-08,0.0,0.0,0.0,inf,,,,,-769.62,0.832
20,GRB141222298,b'GRB141222A      ',57013.2978819,440924940.39,178.0,-57.31,294.9442,4.6371,0.08,0.0,0.0,45.8852,93.4996,0,3.73,b'P8_TRANSIENT020E              ',8.2,1,-0.031,1.293,1.262,34.21,406.34,12.39,440.54999,33.04,464.16,2.752,440.54999,38.9478,7.6502e-06,2.83792e-06,6.73908e-09,4.25943e-09,2.95036e-06,1.86477e-06,-2.09906,0.326023,0.0,0.0,34.21,440.54999,38.9406,7.71704e-06,2.79937e-06,6.82813e-09,4.35757e-09,2.77454e-06,1.77066e-06,-2.09701,0.317263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.752,440.54999,38.9478,7.6502e-06,2.83792e-06,6.73908e-09,4.25943e-09,2.95036e-06,1.86477e-06,-2.09906,0.326023,0.0,0.0,3600.0,1.0,227.42,11.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00490997,1.3342,0.396129,-2.10559,0.90222,1.3342,0.396129,150.0,b'GRB141222298',0.0,2.752,0.264,2.752,9.2055e-06,3.8177e-08,0.0,0.0,0.0,inf,,,,,-34.21,-1.293
21,GRB150702998,b'GRB150702A      ',57205.997662,457574202.55,52.59,-56.88,270.6943,-49.1024,0.54,0.0,0.0,117.494,88.1307,0,0.77,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,512.57001,1340.69995,24.205,1853.27002,464.16,1853.27002,0.0,4000.0,32.2995,1.2063e-06,4.37004e-07,8.20261e-10,4.79538e-10,3.28104e-06,1.91815e-06,-2.23136,0.346565,0.0,0.0,512.57001,1737.12,24.1141,1.26692e-06,5.60818e-07,8.61306e-10,6.48e-10,1.05471e-06,7.93508e-07,-2.23148,0.442945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.169,1737.12,29.525,1.60173e-06,6.10503e-07,9.11303e-10,5.46504e-10,1.54006e-06,9.23565e-07,-2.34223,0.415909,0.0,0.0,800.0,0.99,1115.32996,6.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000240404,0.437732,0.270027,-4.44133,0.850008,0.437732,0.270027,33.0,b'GRB150702998',1.344,45.825,2.064,47.169,1.1741e-05,5.4028e-08,0.0,0.0,0.0,inf,,,,,-512.57001,1.344
22,GRB160829334,b'GRB160829A      ',57629.334456,494150501.65,201.72,-56.78,307.7972,5.7566,0.1,0.0,0.0,14.5331,56.8636,1,0.72,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,0.95,30.74,6.18,31.69,0.81,43.91,0.0,100.0,30.6957,5.53164e-06,3.22607e-06,5.24386e-08,6.58135e-08,5.24386e-06,6.58135e-06,-1.31076,0.414958,0.0,0.0,0.95,31.69,30.6028,1.17056e-05,7.63819e-06,1.21712e-07,1.40848e-07,3.74144e-06,4.32966e-06,-1.28179,0.344112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.448,31.69,30.5365,1.15034e-05,7.51358e-06,1.19568e-07,1.38499e-07,3.73555e-06,4.32697e-06,-1.2819,0.344412,0.0,0.0,9400.0,1.0,0.95,3.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,b'GRB160829334',-0.064,0.512,0.202,0.448,3.3953e-07,1.1051e-08,0.0,0.0,0.0,inf,,,,,-0.95,-0.064
23,GRB120316008,b'GRB120316A      ',56002.007662,353549464.56,57.35,-56.41,268.3031,-46.978,0.31,0.0,0.0,9.8853,48.7332,0,3.34,b'P8_TRANSIENT010E              ',5.8,1,11.308,0.398,11.706,15.0,530.03998,33.315,545.03998,12.92,609.59003,15.0,545.03998,70.0461,4.3979e-06,1.26803e-06,3.40587e-09,2.08203e-09,1.80525e-06,1.10356e-06,-2.16154,0.300961,0.0,0.0,15.0,545.03998,70.0461,4.3979e-06,1.26803e-06,3.40587e-09,2.08203e-09,1.80525e-06,1.10356e-06,-2.16154,0.300961,0.0,0.0,1.536,28.16,25.2318,1.74842e-05,1.06202e-05,2.85828e-08,4.05682e-08,7.60987e-07,1.08009e-06,-1.85429,0.486377,0.0,0.0,28.16,545.03998,53.0927,3.91397e-06,1.22791e-06,2.21449e-09,1.28532e-09,1.14463e-06,6.64358e-07,-2.34605,0.373927,0.0,0.0,2100.0,1.0,26.44,10.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00102586,0.872212,0.163782,-3.27178,0.400124,0.872212,0.163782,57.0,b'GRB120316008',1.536,26.624,0.362,28.16,1.6257e-05,3.077e-08,3.9755792537347374,8.392216966590034,0.4215410607949037,2.372248146157556,3.2231177003349276,13.598969657368942,0.6830782904137294,3.176530367283338,-13.464,1.138
24,GRB140928437,b'GRB140928A      ',56928.437419,433592996.55,43.76,-55.92,273.8733,-53.6673,0.1,0.0,0.0,110.0454,111.3008,0,4.24,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,1676.64001,878.03003,42.96,2554.66992,1590.71997,2554.66992,0.0,4000.0,60.8239,5.96924e-07,2.98825e-07,7.61219e-09,8.57666e-09,3.04488e-05,3.43066e-05,-1.21605,0.265539,0.0,0.0,1676.64001,2554.66992,20.62,1.13238e-06,6.52675e-07,1.43243e-09,1.57295e-09,1.25772e-06,1.3811e-06,-1.94762,0.457964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.168,2554.66992,22.1163,1.35651e-06,6.8071e-07,1.13476e-09,9.84209e-10,2.89079e-06,2.50727e-06,-2.12344,0.442726,0.0,0.0,52000.0,1.0,2554.66992,4.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,b'GRB140928437',-10.752,17.92,6.72,7.168,4.4723e-06,8.3463e-08,0.0,0.0,0.0,inf,,,,,-1676.64001,-10.752
25,GRB141012773,b'GRB141012A      ',56942.7731134,434831600.67,289.92,-53.0,344.3488,-25.4676,0.27,0.0,0.0,47.223,94.6922,0,3.28,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,3.14,103.9,10.435,107.04,2.98,127.75,0.0,10000.0,119.675,3.9745e-05,1.12499e-05,3.42716e-08,1.74979e-08,0.000342716,0.000174979,-2.10903,0.263367,0.0,0.0,3.14,107.04,118.426,4.19038e-05,1.17302e-05,4.7771e-08,2.85086e-08,4.9634e-06,2.96204e-06,-1.98829,0.245007,0.0,0.0,-25.856,11.777,61.2969,6.56172e-05,2.48133e-05,3.43106e-08,2.09634e-08,1.29121e-06,7.88916e-07,-2.4031,0.445075,0.0,0.0,11.777,107.04,78.9186,3.26098e-05,1.0852e-05,4.30817e-08,3.08574e-08,4.10409e-06,2.93957e-06,-1.93118,0.27726,0.0,0.0,1100.0,1.0,19.51,14.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,b'GRB141012773',-25.856,37.633,1.619,11.777,6.6405e-06,4.2625e-08,1.5659009445444092,0.7182307257541186,0.2601462707015353,3.843991294986872,1.018354483251887,0.7074058107240574,0.2562255629079379,3.7802908917336695,-28.996000000000002,-25.856
27,GRB090720710,b'GRB090720B      ',55032.7103704,269802178.9,203.638,-51.198,309.7906,11.0987,0.99,0.0,0.0,56.3287,94.2056,1,1.0,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,0.12,1.56,0.37,1.68,0.11,2.41,0.0,10.0,50.9816,0.000213243,8.63653e-05,9.77299e-08,7.36111e-08,9.77299e-07,7.36111e-07,-2.51342,0.636268,0.0,0.0,0.12,1.68,50.5292,0.000987758,0.000457779,6.44754e-07,7.09798e-07,1.00582e-06,1.10729e-06,-2.25503,0.542282,0.0,0.0,-0.256,10.496,49.9781,0.000198101,8.04277e-05,8.93551e-08,6.70667e-08,9.60746e-07,7.21101e-07,-2.52832,0.648902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,1.0,1.68,5.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,b'GRB090720710',-0.256,10.752,1.056,10.496,1.4237e-05,2.3723e-08,0.20055620911194846,0.13858789553845344,0.9551868127497961,1.0469156259823098,0.15896951422081176,0.17878525259396638,1.2322386047717384,1.4666188280367471,-0.376,-0.256
28,GRB220408311,b'GRB220408B      ',59677.3111574,671095689.65,92.48,-50.97,258.8511,-27.0772,0.06,0.0,0.0,28.7876,64.3519,0,2.83,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,8.16,1482.76001,0.12,1490.92004,7.92,1490.92004,0.0,1506.63,141.184,2.55661e-06,6.39416e-07,5.09139e-09,2.62485e-09,7.67084e-06,3.95468e-06,-1.78748,0.183753,0.0,0.0,8.16,1490.92004,135.389,2.42842e-06,6.29469e-07,5.20634e-09,2.76902e-09,7.71975e-06,4.10579e-06,-1.76335,0.185942,0.0,0.0,1.536,34.049,22.8454,2.31447e-05,1.20822e-05,7.28929e-09,4.67194e-09,2.36997e-07,1.51899e-07,-3.03119,0.933528,0.0,0.0,34.049,1490.92004,127.921,2.02093e-06,5.70383e-07,5.96152e-09,3.3826e-09,8.68516e-06,4.92801e-06,-1.66276,0.18862,0.0,0.0,22000.0,1.0,41.47,20.0,0.000374193,-5.66078,0.262686,2.09366,0.377941,0.344563,0.250212,2.15902,0.161002,0.00199447,0.939019,0.168586,-3.13739,0.417463,0.344563,0.250212,150.0,b'GRB220408311',1.536,32.513,1.056,34.049,3.4595e-05,6.8446e-08,9.530764859455942,1.4000795184332948,0.030700087438064703,32.573197129077585,6.949773021780764,1.3593390414566302,0.029806754966834145,31.307608245842605,-6.6240000000000006,1.536
30,GRB100620119,b'GRB100620A      ',55367.1190856,298695091.12,87.68,-50.66,257.9704,-30.0254,1.24,0.0,0.0,25.2451,73.3437,0,3.22,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,3.75,39.05,6.105,42.8,3.51,54.77,0.192,52.033,27.5217,1.82768e-05,7.7236e-06,4.74861e-09,2.22433e-09,2.46173e-07,1.15312e-07,-3.60146,1.021,0.0,0.0,3.75,42.8,20.8577,1.63992e-05,8.63987e-06,3.74366e-09,2.17911e-09,1.4619e-07,8.50942e-08,-4.3359,1.61284,0.0,0.0,0.192,52.033,27.5217,1.82768e-05,7.7236e-06,4.74861e-09,2.22433e-09,2.46173e-07,1.15312e-07,-3.60146,1.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,1.0,3.75,5.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,b'GRB100620119',0.192,51.841,8.518,52.033,3.7157e-06,8.4303e-08,1.1144933899214595,1.268440510089057,1.6839250290717562,0.5938506659950522,0.9360614504504642,1.1355870198308704,1.5075553835010689,0.5335526249948246,-3.558,0.192
31,GRB120709883,b'GRB120709A      ',56117.8831019,363561103.37,318.8,-50.42,347.9563,-43.1787,0.4,0.0,0.0,27.7871,40.4568,0,3.3,b'P8_TRANSIENT010E              ',9.9,1,-0.118,0.46,0.342,0.11,695.79999,14.865,695.90997,0.1,725.63,-0.128,27.2,125.988,8.45134e-05,2.40396e-05,6.22217e-08,3.76408e-08,1.70039e-06,1.02865e-06,-2.18779,0.30808,0.0,0.0,0.11,695.90997,91.8068,1.02631e-05,2.08241e-06,6.21406e-09,2.21249e-09,4.32374e-06,1.53945e-06,-2.30113,0.219498,0.0,0.0,-0.128,27.2,125.988,8.45134e-05,2.40396e-05,6.22217e-08,3.76408e-08,1.70039e-06,1.02865e-06,-2.18779,0.30808,0.0,0.0,27.2,695.90997,37.5066,6.44722e-06,1.80065e-06,3.30791e-09,1.42181e-09,2.21203e-06,9.50776e-07,-2.4177,0.316438,0.0,0.0,2600.0,0.99,140.33,22.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000912808,0.66663,0.130078,-3.50976,0.379818,0.66663,0.130078,84.0,b'GRB120709883',-0.128,27.328,0.958,27.2,1.3729e-05,3.751e-08,8.23468542643061,10.013051048750736,0.39326832788280514,2.5427931239303923,4.3869535310280305,8.508183694455978,0.33416465096008885,2.1751186034448335,-0.238,-0.5880000000000001
32,GRB101014175,b'GRB101014A      ',55483.1749074,308722314.62,26.5,-48.54,280.2491,-66.1151,0.09,0.0,0.0,55.0297,102.5554,1,3.14,b'P8_TRANSIENT010E              ',12.0,1,208.718,1.666,210.384,2270.73999,1925.28003,52.38,4196.02002,2165.97998,4196.02002,0.0,10000.0,48.4252,1.9469e-07,9.65282e-08,1.50657e-09,1.2051e-09,1.50657e-05,1.2051e-05,-1.3731,0.272673,0.0,0.0,2270.73999,4196.02002,46.5042,3.98166e-07,1.99255e-07,3.84489e-09,4.03587e-09,7.40248e-06,7.77017e-06,-1.305,0.346325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.823,4196.02002,46.2107,3.80447e-07,1.89866e-07,3.62144e-09,3.07777e-09,1.3563e-05,1.15269e-05,-1.30948,0.271293,0.0,0.0,14000.0,1.0,2750.70996,6.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000101661,-0.156331,0.348764,-6.85879,1.23886,-0.156331,0.348764,67.0,b'GRB101014175',1.408,449.415,1.409,450.823,0.00020146,4.2669e-07,0.0,0.0,0.0,inf,,,,,-2270.73999,-0.258
33,GRB150820880,b'GRB150820A      ',57254.8800347,461797639.642,258.65,-48.33,340.4708,-5.6225,15.3,0.0,0.0,22.9819,66.5613,0,-1.0,b'P8_TRANSIENT020E              ',6.9,1,-1.058,0.423,-0.635,-666.0,0.0,-666.0,-666.0,0.0,-1332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.768,5.12,-1.30431e-10,7.85917e-05,0.0,8.70678e-08,0.0,5.12655e-07,0.0,-2.69194,2762740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-670.0,-670.0,-666.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'GRB150820880',-0.768,5.888,1.379,5.12,3.4278e-07,1.7733e-08,inf,inf,inf,0.0,,,,,-0.768,-1.191
34,GRB170906030,b'GRB170906A      ',58002.0299537,526351393.15,203.94,-47.12,310.7161,15.0808,0.1,0.0,0.0,89.11,89.0556,0,4.13,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,162.06,1821.18994,2.83,1983.25,156.39999,1983.25,162.06,1894.27002,205.606,5.73369e-06,9.48188e-07,5.57307e-09,1.78838e-09,9.65372e-06,3.09785e-06,-2.05485,0.144425,0.0,0.0,162.06,1894.27002,205.606,5.73369e-06,9.48188e-07,5.57307e-09,1.78838e-09,9.65372e-06,3.09785e-06,-2.05485,0.144425,0.0,0.0,12.032,90.881,-4.09526e-08,0.000290371,0.0,3.21688e-07,0.0,2.53647e-05,0.0,-3.30743,42933.9,0.0,0.0,90.881,1894.27002,204.977,5.72201e-06,9.4079e-07,5.4478e-09,1.73488e-09,9.82451e-06,3.12867e-06,-2.06393,0.14497,0.0,0.0,3600.0,1.0,203.25,29.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000624579,0.832034,0.123024,-2.83905,0.353,0.832034,0.123024,190.0,b'GRB170906030',12.032,78.849,0.724,90.881,9.4607e-05,7.8311e-08,50.64295418831503,57.721866045106204,2.62745345835595,0.3805966559825269,20.594400528702106,32.69813750279551,1.4883938788746318,0.12213233351863023,-150.028,12.032
35,GRB141102536,b'GRB141102A      ',56963.5358681,436625502.26,209.07,-46.73,314.3418,14.7002,0.68,0.0,0.0,52.3349,53.465,1,2.58,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,3.55,54.17,1.115,57.72,1.32,57.72,2.56,34.54,48.5449,5.59796e-05,2.32405e-05,6.13754e-08,5.85282e-08,1.96279e-06,1.87173e-06,-2.00407,0.381373,0.0,0.0,3.55,34.54,40.1892,4.72661e-05,2.15743e-05,6.5722e-08,7.03695e-08,2.03673e-06,2.18075e-06,-1.91217,0.387536,0.0,0.0,-0.064,2.56,3.38825,0.000578584,0.0,6.40984e-07,0.0,1.68194e-06,0.0,-3.42118,2.05809,0.0,0.0,2.56,34.54,48.5449,5.59796e-05,2.32405e-05,6.13754e-08,5.85282e-08,1.96279e-06,1.87173e-06,-2.00407,0.381373,0.0,0.0,640.0,0.97,30.91,7.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00234063,1.03484,0.183393,-3.09904,0.297783,1.03484,0.183393,34.0,b'GRB141102536',-0.064,2.624,0.326,2.56,1.4195e-06,4.1208e-08,12.240993016136303,9.752959435196738,0.8258041075645766,1.2109409372510316,8.27008783570806,10.091907586916284,0.8545023257769496,1.2965682485701038,-3.614,-0.064
43,GRB210202841,b'GRB210202A      ',59247.8406366,633989436.3,229.81,-38.04,332.4724,16.211,0.61,0.0,0.0,45.9691,35.6849,0,4.5,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,0.91,37.74,5.54,38.65,0.81,49.63,0.0,88.11,51.9798,2.57778e-05,9.25845e-06,3.55635e-08,2.77168e-08,3.1335e-06,2.44213e-06,-1.91506,0.294044,0.0,0.0,0.91,38.65,43.1857,5.00422e-05,1.93088e-05,3.87909e-08,3.04081e-08,1.46397e-06,1.1476e-06,-2.16106,0.389661,0.0,0.0,0.768,18.432,7.03556,0.000103006,0.0,1.14115e-07,0.0,2.01572e-06,0.0,-2.55066,0.844398,0.0,0.0,18.432,38.65,40.4192,5.12944e-05,2.37113e-05,5.98375e-08,6.70422e-08,1.2098e-06,1.35546e-06,-1.97913,0.434185,0.0,0.0,1400.0,0.97,19.34,6.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,b'GRB210202841',0.768,17.664,0.572,18.432,1.5544e-05,2.6729e-08,2.0583827249801168,2.941798205249169,1.3768861383771525,0.7262764669696188,1.2786025708712845,2.604609337223776,1.219065972174298,0.5693251046772368,-0.14200000000000002,0.768
44,GRB120919052,b'GRB120919B      ',56189.0516551,369710066.07,302.73,-37.73,3.3613,-31.2173,0.14,0.0,0.0,22.93,65.9063,0,2.72,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,121.23,484.04001,242.02,605.27002,62.2,1030.28003,0.0,4000.0,28.7391,1.90068e-06,8.84049e-07,1.85508e-09,1.51694e-09,7.42031e-06,6.06776e-06,-2.05305,0.393898,0.0,0.0,121.23,605.27002,11.6016,4.58325e-06,0.0,5.07755e-09,0.0,2.45774e-06,0.0,-3.23605,0.949015,0.0,0.0,2.048,120.066,3.46742,9.24202e-06,0.0,1.02388e-08,0.0,1.20836e-06,0.0,-2.64243,1.25142,0.0,0.0,120.066,605.27002,17.9193,5.25958e-06,0.0,5.82682e-09,0.0,2.8272e-06,0.0,-3.04696,0.754288,0.0,0.0,13000.0,1.0,605.27002,3.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,b'GRB120919052',2.048,118.018,0.362,120.066,2.0674e-05,3.8149e-08,2.016477390498009,2.0164843280716096,0.4916549350216052,2.033946837035321,0.0,0.0,0.0,0.0,-119.182,2.048
47,GRB090531775,b'GRB090531B      ',54982.7749537,265487758.492,252.06,-36.05,347.1972,5.7448,0.0,0.0,0.0,21.9282,49.1757,0,-1.0,b'P8_TRANSIENT020E              ',10.0,1,-0.067,0.071,0.004,1.63,7.47,4.14,9.1,0.82,16.57,0.768,9.1,5.31069,9.09271e-05,0.0,1.00734e-07,0.0,8.39312e-07,0.0,-2.66036,1.50029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.768,9.1,5.31069,9.09271e-05,0.0,1.00734e-07,0.0,8.39312e-07,0.0,-2.66036,1.50029,0.0,0.0,630.0,0.94,9.1,2.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'GRB090531775',0.0,0.768,0.231,0.768,3.1809e-07,1.8367e-08,,,,,,,,,0.0,-0.071
