,time,n9,n9_bkg,na,na_bkg,nb,nb_bkg,b1,b1_bkg
30,0.0,5146.991945508383,1393.877451336421,5370.4074471807135,1391.1579691268996,4706.804463585898,1109.6648090399929,6098.771333546686,3266.074130158848
31,1.0,26708.921880567872,1422.9615404248525,27141.63293046896,1399.063765508293,26214.181539213783,1133.3117106495686,30726.049334992844,3266.074130158848
32,2.0,25116.67881961591,1446.9334125123883,26120.094323732526,1406.9695618896853,23791.452898269654,1153.0282060588393,19741.43955276031,3266.074130158848
33,3.0,21671.603654832506,1465.7930675990312,22064.66061117564,1414.875358271077,19911.343274263534,1168.8142952678018,14320.297913248616,3266.074130158848
34,4.0,7304.24086437069,1479.5405056847803,7664.1816815291795,1422.7811546524695,6363.855651253818,1180.6699782764583,4558.460361082562,3266.074130158849
35,5.0,3545.956400854253,1488.1757267696353,3624.583077217626,1430.6869510338618,3082.6041259780372,1188.5952550848085,3647.678044788124,3266.074130158849
36,6.0,1994.5927053747544,1491.6987308535972,2164.2759823642655,1438.592747415254,1742.8878929529499,1192.590125692851,3278.1238858910756,3266.074130158848
37,7.0,1652.894220791342,1490.1095179366653,1787.1916592367688,1446.4985437966466,1426.0567974035932,1192.6545901005873,3307.443157097507,3266.0741301588487
38,8.0,1619.6818439084307,1483.4080880188403,1640.8117552370497,1454.404340178038,1265.9954817403727,1188.7886483080165,3326.8133298148146,3266.0741301588487
39,9.0,1501.9654979361771,1471.594441100122,1505.978765799734,1462.3101365594312,1250.870192375209,1180.9923003151403,3214.1130981150313,3266.074130158848
40,10.0,1422.3409846852594,1454.6685771805096,1429.7037252560926,1470.2159329408237,1101.0609494394416,1169.2655461219556,3278.0974748074937,3266.074130158849
41,11.0,1388.1867713022475,1432.6304962600034,1426.4905923848276,1478.1217293222153,1112.1786064572548,1153.6083857284661,3211.3574707110906,3266.0741301588487
42,12.0,1445.675313965364,1405.4801983386046,1542.432447078611,1486.0275257036083,1160.586211393205,1134.0208191346678,3123.426707211471,3266.074130158849
43,13.0,1335.9008304248405,1373.2176834163124,1503.1045430281235,1493.9333220850012,1089.1236065034518,1110.5028463405633,3257.981803642897,3266.0741301588487
44,14.0,1422.420884107807,1335.8429514931245,1443.720967563934,1501.8391184663933,1119.1605092782017,1083.0544673461523,3230.1979201069753,3266.074130158849
45,15.0,1387.2700171126728,1293.356002569046,1480.9285301483337,1509.744914847784,1065.9569646198556,1051.6756821514352,3269.961670852728,3266.0741301588478
46,16.0,1463.739588788497,1245.756836644071,1431.5781870421608,1517.650711229178,1106.103727058125,1016.366490756411,3198.6291301782658,3266.0741301588478
47,17.0,1337.9442596775293,1193.0454537182043,1472.9136399027154,1525.5565076105695,1075.963202660126,977.1268931610801,3264.70931801612,3266.0741301588505
48,18.0,1330.872839964296,1135.2218537914428,1418.5222489295875,1533.4623039919616,1108.1226897396864,933.9568893654421,3164.2319966978425,3266.0741301588487
49,19.0,1365.1418403436026,1072.286036863788,1399.4642910885725,1541.368100373354,1063.8276539040771,886.8564793694975,3139.2084925758422,3266.07413015885
50,20.0,1267.5491375852387,1004.2380029352405,1431.5781870421608,1549.273896754747,1099.0068828314268,835.8256631732465,3248.3093888828475,3266.0741301588487
51,21.0,1348.0765835887726,931.0777520057976,1355.1494676700056,1557.1796931361387,1086.0648750774685,780.8644407766885,3156.1271149071886,3266.0741301588496
52,22.0,1342.950961729408,852.8052840754634,1371.3746852459346,1565.0854895175316,1102.004063075945,721.9728121798242,3197.5643741391946,3266.074130158848
53,23.0,1385.2471678165255,769.4205991442342,1431.6356361899832,1572.9912858989233,1078.9087379575335,659.1507773826524,3270.711822898205,3266.0741301588505
54,24.0,1317.02747000327,680.923697212112,1384.2968574455108,1580.8970822803155,1107.1709375651867,592.3983363851736,3182.8278332806385,3266.07413015885
55,25.0,1390.2988039016639,587.3145782790963,1362.2447546555065,1588.8028786617083,1052.825784405344,521.7154891873897,3203.1723590694787,3266.07413015885
56,26.0,1368.1701827169213,488.59324234518556,1424.4899924562221,1596.7086750431015,994.561991690595,447.1022357892972,3241.110858275153,3266.0741301588496
